b7f9abdadb1e | 2025-06-14 23:16:21.204 | info | Starting database migration service
b7f9abdadb1e | 2025-06-14 23:16:21.204 | info | Migration command: up
b7f9abdadb1e | 2025-06-14 23:16:21.204 | info | Connecting to database: postgres:5432/mydb
c37e05c33051 | 2025-06-14 23:21:39.705 | info | Starting database migration service
c37e05c33051 | 2025-06-14 23:21:39.705 | info | Migration command: up
c37e05c33051 | 2025-06-14 23:21:39.705 | info | Connecting to database: postgres:5432/mydb
c37e05c33051 | 2025-06-14 23:21:39.718 | info | Database connection established
c37e05c33051 | 2025-06-14 23:21:39.733 | info | Database has no migrations applied yet
c37e05c33051 | 2025-06-14 23:21:39.733 | info | Running UP migrations...
c37e05c33051 | 2025-06-14 23:21:39.910 | info | UP migrations completed successfully
c37e05c33051 | 2025-06-14 23:21:39.911 | info | Final migration version: 21 (dirty: false)
c37e05c33051 | 2025-06-14 23:21:39.911 | info | Migration service completed in 205ms
4cf460e93493 | 2025-07-06 20:05:30.650 | info | Starting database migration service
4cf460e93493 | 2025-07-06 20:05:30.651 | info | Migration command: up
4cf460e93493 | 2025-07-06 20:05:30.652 | info | Connecting to database: postgres:5432/mydb
4cf460e93493 | 2025-07-06 20:05:30.675 | info | Database connection established
4cf460e93493 | 2025-07-06 20:05:30.708 | info | Database has no migrations applied yet
4cf460e93493 | 2025-07-06 20:05:30.709 | info | Running UP migrations...
4cf460e93493 | 2025-07-06 20:05:31.311 | info | UP migrations completed successfully
4cf460e93493 | 2025-07-06 20:05:31.313 | info | Final migration version: 21 (dirty: false)
4cf460e93493 | 2025-07-06 20:05:31.314 | info | Migration service completed in 663ms
aae837bd13e2 | 2025-07-06 21:40:50.403 | info | Starting database migration service
aae837bd13e2 | 2025-07-06 21:40:50.404 | info | Migration command: up
aae837bd13e2 | 2025-07-06 21:40:50.405 | info | Connecting to database: postgres:5432/mydb
aae837bd13e2 | 2025-07-06 21:40:50.432 | info | Database connection established
aae837bd13e2 | 2025-07-06 21:40:50.467 | info | Database has no migrations applied yet
aae837bd13e2 | 2025-07-06 21:40:50.468 | info | Running UP migrations...
aae837bd13e2 | 2025-07-06 21:40:51.022 | info | UP migrations completed successfully
aae837bd13e2 | 2025-07-06 21:40:51.026 | info | Final migration version: 21 (dirty: false)
aae837bd13e2 | 2025-07-06 21:40:51.027 | info | Migration service completed in 623ms
79346d72efa6 | 2025-07-06 23:13:51.318 | info | Starting database migration service
79346d72efa6 | 2025-07-06 23:13:51.318 | info | Migration command: up
79346d72efa6 | 2025-07-06 23:13:51.319 | info | Connecting to database: postgres:5432/mydb
79346d72efa6 | 2025-07-06 23:13:51.332 | info | Database connection established
79346d72efa6 | 2025-07-06 23:13:51.366 | info | Current migration version: 21 (dirty: false)
79346d72efa6 | 2025-07-06 23:13:51.367 | info | Running UP migrations...
79346d72efa6 | 2025-07-06 23:13:51.372 | info | No new migrations to apply
79346d72efa6 | 2025-07-06 23:13:51.373 | info | Final migration version: 21 (dirty: false)
79346d72efa6 | 2025-07-06 23:13:51.374 | info | Migration service completed in 56ms
6f86ed3f9492 | 2025-07-06 23:16:10.036 | info | Starting database migration service
6f86ed3f9492 | 2025-07-06 23:16:10.036 | info | Migration command: up
6f86ed3f9492 | 2025-07-06 23:16:10.037 | info | Connecting to database: postgres:5432/mydb
6f86ed3f9492 | 2025-07-06 23:16:10.054 | info | Database connection established
6f86ed3f9492 | 2025-07-06 23:16:10.077 | info | Current migration version: 21 (dirty: false)
6f86ed3f9492 | 2025-07-06 23:16:10.077 | info | Running UP migrations...
6f86ed3f9492 | 2025-07-06 23:16:10.081 | info | No new migrations to apply
6f86ed3f9492 | 2025-07-06 23:16:10.083 | info | Final migration version: 21 (dirty: false)
6f86ed3f9492 | 2025-07-06 23:16:10.087 | info | Migration service completed in 51ms
0a480fb348f0 | 2025-07-09 14:47:20.821 | info | Starting database migration service
0a480fb348f0 | 2025-07-09 14:47:20.822 | info | Migration command: up
0a480fb348f0 | 2025-07-09 14:47:20.822 | info | Connecting to database: postgres:5432/mydb
0a480fb348f0 | 2025-07-09 14:47:20.848 | info | Database connection established
0a480fb348f0 | 2025-07-09 14:47:20.907 | info | Current migration version: 21 (dirty: false)
0a480fb348f0 | 2025-07-09 14:47:20.907 | info | Running UP migrations...
0a480fb348f0 | 2025-07-09 14:47:20.912 | info | No new migrations to apply
0a480fb348f0 | 2025-07-09 14:47:20.914 | info | Final migration version: 21 (dirty: false)
0a480fb348f0 | 2025-07-09 14:47:20.915 | info | Migration service completed in 93ms
e53280b376ae | 2025-07-12 20:10:43.338 | info | Starting database migration service
e53280b376ae | 2025-07-12 20:10:43.338 | info | Migration command: up
e53280b376ae | 2025-07-12 20:10:43.338 | info | Connecting to database: postgres:5432/mydb
e53280b376ae | 2025-07-12 20:10:43.351 | info | Database connection established
e53280b376ae | 2025-07-12 20:10:43.361 | info | Database has no migrations applied yet
e53280b376ae | 2025-07-12 20:10:43.361 | info | Running UP migrations...
e53280b376ae | 2025-07-12 20:10:43.511 | info | UP migrations completed successfully
e53280b376ae | 2025-07-12 20:10:43.512 | info | Final migration version: 23 (dirty: false)
e53280b376ae | 2025-07-12 20:10:43.512 | info | Migration service completed in 174ms
8bf5cd471c4f | 2025-07-12 20:24:49.984 | info | Starting database migration service
8bf5cd471c4f | 2025-07-12 20:24:49.984 | info | Migration command: up
8bf5cd471c4f | 2025-07-12 20:24:49.984 | info | Connecting to database: postgres:5432/mydb
8bf5cd471c4f | 2025-07-12 20:24:50.024 | info | Database connection established
8bf5cd471c4f | 2025-07-12 20:24:50.138 | info | Database has no migrations applied yet
8bf5cd471c4f | 2025-07-12 20:24:50.138 | info | Running UP migrations...
8bf5cd471c4f | 2025-07-12 20:24:50.936 | info | UP migrations completed successfully
8bf5cd471c4f | 2025-07-12 20:24:50.937 | info | Final migration version: 23 (dirty: false)
8bf5cd471c4f | 2025-07-12 20:24:50.937 | info | Migration service completed in 952ms
cc34bda6605e | 2025-07-13 18:53:56.353 | info | Starting database migration service
